config_id,test_accuracy,val_accuracy,final_loss,training_time_sec,hidden_dims,learning_rate,batch_size,dropout
33,0.87759,0.87685,0.24494888465762138,539.5066289901733,"[512, 1024, 2048]",0.0003,64,0.1
30,0.87127,0.87196,0.2618384080553055,445.8536686897278,"[256, 512, 1024]",0.0005,128,0.1
3,0.86837,0.86818,0.277030995131731,505.7063591480255,"[128, 256, 512]",0.0003,64,0.1
21,0.86827,0.86721,0.27573456993818285,297.71290588378906,"[512, 1024, 2048]",0.0003,128,0.2
31,0.86746,0.86761,0.27154258198976516,603.0539844036102,"[512, 1024, 2048]",0.0003,64,0.2
8,0.86733,0.86749,0.2511573099184036,156.81386995315552,"[512, 1024, 2048]",0.0005,256,0.0
6,0.86614,0.8651,0.2731117429149151,279.0403826236725,"[512, 1024, 2048]",0.0003,128,0.2
48,0.8644,0.86598,0.2632696957731247,196.92415833473206,"[256, 512, 1024]",0.001,256,0.0
17,0.86437,0.86385,0.2692420503902435,558.3343970775604,"[128, 256, 512]",0.0005,64,0.1
46,0.86105,0.85944,0.30423813141822814,191.38947129249573,"[256, 512, 1024]",0.001,256,0.3
39,0.85619,0.85674,0.30247167174100875,478.8145959377289,"[128, 256, 512]",0.0003,64,0.2
16,0.85596,0.85392,0.32294905349783953,72.24696159362793,"[128, 256, 512]",0.001,512,0.2
14,0.85271,0.85,0.31339839742660525,139.49697160720825,"[128, 256, 512]",0.0005,256,0.1
1,0.84677,0.84776,0.2553262650644779,439.6466109752655,"[128, 256, 512]",0.0003,64,0.0
20,0.83566,0.83598,0.33269156334342176,70.29313969612122,"[64, 128, 256]",0.001,512,0.1
19,0.82972,0.82833,0.340753301486969,148.4621388912201,"[256, 512, 1024]",0.0003,256,0.1
18,0.82955,0.82958,0.3475784631911069,75.9896912574768,"[256, 512, 1024]",0.0005,512,0.2
28,0.82935,0.82817,0.33973488820270753,92.29044079780579,"[256, 512, 1024]",0.0005,512,0.1
45,0.8265,0.82672,0.3175624377059936,265.25521874427795,"[64, 128, 256]",0.001,128,0.0
49,0.82447,0.82402,0.3672585317516327,288.7351098060608,"[128, 256, 512]",0.0003,128,0.3
47,0.81712,0.82002,0.35634801676750183,658.5087220668793,"[64, 128, 256]",0.001,64,0.0
12,0.81599,0.81763,0.3412345076537132,268.7624146938324,"[512, 1024, 2048]",0.0001,128,0.0
41,0.81043,0.81259,0.3562592017686367,427.34486413002014,"[256, 512, 1024]",0.0001,64,0.1
43,0.80585,0.80648,0.36861078145409365,56.18826198577881,"[128, 256, 512]",0.0005,512,0.1
15,0.80001,0.80074,0.37974668641567233,323.2167592048645,"[512, 1024, 2048]",0.0001,128,0.1
11,0.79898,0.80098,0.39101521898269653,519.5307466983795,"[128, 256, 512]",0.0001,64,0.1
37,0.79837,0.79729,0.382443268457845,62.01657295227051,"[128, 256, 512]",0.0005,512,0.2
26,0.79818,0.79986,0.41606733672292223,84.36176562309265,"[64, 128, 256]",0.003,512,0.2
2,0.79347,0.79501,0.39548528197646143,424.2324147224426,"[64, 128, 256]",0.0001,64,0.0
5,0.7888,0.78731,0.39635682022067864,64.25667214393616,"[256, 512, 1024]",0.0003,512,0.2
13,0.7887,0.78883,0.4152982495772854,61.7005877494812,"[64, 128, 256]",0.0005,512,0.2
23,0.78825,0.79034,0.3891323739221551,62.3053662776947,"[128, 256, 512]",0.0003,512,0.0
22,0.78431,0.7835,0.43124684798274854,61.918363094329834,"[64, 128, 256]",0.003,512,0.2
24,0.78125,0.78097,0.4059798617553711,303.0077919960022,"[256, 512, 1024]",0.0001,128,0.1
35,0.78036,0.78439,0.40973894641509284,56.66271138191223,"[128, 256, 512]",0.0003,512,0.1
42,0.77961,0.78016,0.3966487197589874,112.06692624092102,"[256, 512, 1024]",0.0001,256,0.0
38,0.77505,0.77696,0.41962814741265914,54.16814088821411,"[64, 128, 256]",0.003,512,0.0
7,0.7671,0.7672,0.4233633423278945,61.32080698013306,"[256, 512, 1024]",0.0001,512,0.0
34,0.76237,0.76274,0.4248317754070218,60.5241858959198,"[256, 512, 1024]",0.0001,512,0.0
32,0.7613,0.75974,0.45146379407048226,501.0172128677368,"[64, 128, 256]",0.0001,64,0.2
0,0.7612,0.76272,0.43682489769935606,146.10697150230408,"[256, 512, 1024]",0.0001,256,0.1
27,0.75901,0.75938,0.44751117811203,219.94700360298157,"[256, 512, 1024]",0.0001,256,0.2
4,0.74519,0.7449,0.4603012431980553,63.552220821380615,"[64, 128, 256]",0.0003,512,0.2
29,0.73601,0.73472,0.4738250602245331,141.45758843421936,"[64, 128, 256]",0.0001,256,0.1
9,0.72072,0.72108,0.5604439034461975,502.12077164649963,"[64, 128, 256]",0.003,64,0.3
25,0.72072,0.72108,0.5909091925263404,513.1023223400116,"[64, 128, 256]",0.003,64,0.3
40,0.27928,0.27892,72.24975,237.68821144104004,"[256, 512, 1024]",0.003,128,0.1
36,0.27928,0.27892,72.2502450784251,91.91623044013977,"[512, 1024, 2048]",0.003,512,0.1
44,0.27928,0.27892,72.2502450784251,54.635577917099,"[128, 256, 512]",0.003,512,0.1
10,0.27928,0.27892,72.24975,184.299907207489,"[256, 512, 1024]",0.003,256,0.2
