distance,model,accuracy,accuracy_std,f1,precision,recall
3,DeepSets,0.9263666666666667,0.0,0.5682635076140113,0.5936376344592177,0.5633116883116883
3,GNN,0.9860833333333335,0.0,0.9059831063057645,0.9427279755296785,0.8722943722943722
5,DeepSets,0.9578916666666668,0.0,0.8853221907384387,0.9059423945755852,0.8657087103069009
5,GNN,0.9782583333333333,0.0,0.9416986442244997,0.9490799270385993,0.9344509490863935
7,DeepSets,0.8457666666666667,0.0,0.7278309834531482,0.7462377766862557,0.7134402787791396
7,GNN,0.9320666666666667,0.0,0.876704552539719,0.8821029789098253,0.8714251381879357
9,DeepSets,0.5477833333333334,0.0,0.3412725794492184,0.3411860462767358,0.3588534107402032
9,GNN,0.8082166666666666,0.0,0.7358887719710353,0.6952511079915271,0.7837687469762941
11,DeepSets,0.5272749999999999,0.0,0.35913212403404793,0.3784182807854317,0.3844643619291506
11,GNN,0.6907583333333333,0.0,0.6455693878043609,0.5806252042766539,0.7367690994451558
13,DeepSets,0.5185166666666666,0.0,0.3607060878570823,0.4049113734610738,0.3855452674897119
13,GNN,0.6126083333333333,0.0,0.5846582907813401,0.5311062213082,0.6687836340614117
